Crop,Season,Region,Soil_Type,Irrigation_Type,Mechanization_Level,Labour_Availability,Gender_Split,Farm_Size_Acre,Task,Prev_Yield_q_per_acre,Weather_Index,Labour_Per_Acre_est,Labour_Required,Labour_Hours_est,Duration_Days_est,Wage_Per_Day_INR,Total_Labour_Cost_INR,Male_Workers_est,Female_Workers_est,Labour_Demand_Level
Rice,Kharif,Uttar_Pradesh,Black,Canal,None,Low,Mostly_Female,1.44,Threshing,20.44,0.88,3.23,5,30.4,5,431,2155,0,5,Medium
Cotton,Zaid,Tamil_Nadu,Laterite,Canal,Low,Medium,Mostly_Male,0.84,Transplanting,31.59,1.06,5.18,4,25.9,6,511,2044,3,1,High
Rice,Rabi,Bihar,Sandy,Tube_Well,Medium,Medium,Mostly_Female,0.62,Sowing,27.4,1.14,2.1,1,7.7,2,400,400,0,1,Low
Soybean,Kharif,Haryana,Alluvial,Canal,Medium,High,Mostly_Male,4.69,Sowing,23.05,0.96,1.13,5,42.5,13,642,3210,4,1,Very_Low
Rice,Zaid,Madhya_Pradesh,Sandy,Canal,None,Medium,Mostly_Female,0.54,Threshing,23.1,0.92,2.83,2,16.6,2,497,994,0,2,Medium
Vegetables,Rabi,Haryana,Black,Sprinkler,High,Medium,Mostly_Female,1.61,Harvesting,33.37,0.97,2.36,4,29.5,8,625,2500,1,3,Low
Maize,Zaid,Odisha,Laterite,Sprinkler,Low,Low,Mostly_Male,1.23,Threshing,6.94,1.0,2.53,3,25.7,4,375,1125,3,0,Medium
Soybean,Kharif,West_Bengal,Laterite,Sprinkler,High,Medium,Mostly_Female,1.19,Land_Preparation,22.75,1.05,0.53,1,8.7,2,469,469,0,1,Very_Low
Maize,Rabi,Madhya_Pradesh,Laterite,Rainfed,High,High,Mixed,2.39,Threshing,17.86,1.08,1.01,2,12.6,7,499,998,1,1,Very_Low
Cotton,Kharif,Bihar,Black,Sprinkler,High,High,Mostly_Male,1.41,Post_Harvest,26.29,0.95,0.46,1,8.8,3,421,421,1,0,Very_Low
Wheat,Kharif,Odisha,Alluvial,Rainfed,Medium,High,Mostly_Female,1.72,Transplanting,16.85,0.89,2.43,4,30.6,9,447,1788,1,3,Low
Cotton,Zaid,Maharashtra,Loamy,Tube_Well,Low,Medium,Mixed,1.94,Harvesting,32.99,1.12,4.25,8,53.9,12,452,3616,4,4,High
Soybean,Kharif,Punjab,Alluvial,Rainfed,Low,High,Mixed,3.69,Sowing,18.61,1.0,1.49,5,37.3,14,756,3780,3,2,Very_Low
Soybean,Rabi,Maharashtra,Laterite,Drip,None,Low,Mixed,0.87,Fertilizer_Application,15.42,0.98,0.96,1,8.2,2,573,573,0,1,Very_Low
Vegetables,Zaid,Bihar,Alluvial,Canal,None,Medium,Mostly_Male,0.63,Pest_Control,33.0,0.91,1.54,1,8.6,1,418,418,1,0,Low
Rice,Kharif,Tamil_Nadu,Alluvial,Rainfed,High,High,Mostly_Male,0.71,Pest_Control,30.74,1.0,0.47,1,7.2,1,517,517,1,0,Very_Low
Maize,Rabi,Uttar_Pradesh,Laterite,Sprinkler,Medium,Medium,Mostly_Male,2.81,Irrigation,14.89,0.92,0.45,1,8.2,2,410,410,1,0,Very_Low
Groundnut,Zaid,Tamil_Nadu,Black,Rainfed,High,Low,Mostly_Male,1.87,Sowing,23.19,1.03,1.13,2,13.4,4,583,1166,2,0,Very_Low
Soybean,Kharif,Odisha,Alluvial,Drip,Medium,Medium,Mixed,0.57,Irrigation,16.85,0.91,0.51,1,6.7,1,427,427,0,1,Very_Low
Pulses,Kharif,Punjab,Laterite,Sprinkler,High,High,Mostly_Male,4.26,Threshing,19.95,0.91,0.72,3,26.4,13,783,2349,2,1,Very_Low
Sugarcane,Rabi,Tamil_Nadu,Loamy,Tube_Well,Medium,High,Mostly_Female,1.25,Threshing,45.89,0.85,2.35,3,20.7,4,590,1770,0,3,Low
Rice,Kharif,Tamil_Nadu,Black,Tube_Well,Low,Low,Mixed,0.91,Weeding,31.97,1.06,1.9,2,15.0,2,586,1172,1,1,Low
Vegetables,Rabi,Punjab,Alluvial,Tube_Well,Medium,Medium,Mixed,11.48,Transplanting,37.09,1.07,5.48,63,458.8,52,643,40509,37,26,High
Sugarcane,Zaid,Punjab,Red,Sprinkler,Medium,Medium,Mostly_Male,8.65,Irrigation,36.41,0.96,0.92,8,71.3,6,692,5536,7,1,Very_Low
Rice,Rabi,Tamil_Nadu,Laterite,Sprinkler,Medium,High,Mostly_Male,0.69,Transplanting,20.95,1.14,4.08,3,25.9,3,563,1689,2,1,High
Vegetables,Zaid,Maharashtra,Red,Canal,Medium,Low,Mostly_Male,1.13,Harvesting,28.08,0.92,3.98,4,29.5,7,549,2196,3,1,Medium
Wheat,Zaid,Maharashtra,Laterite,Tube_Well,Low,Low,Mixed,4.03,Fertilizer_Application,13.27,1.04,0.95,4,35.8,7,567,2268,2,2,Very_Low
Maize,Kharif,Odisha,Red,Rainfed,None,Medium,Mostly_Female,2.06,Fertilizer_Application,15.6,0.98,1.23,3,19.0,5,379,1137,0,3,Very_Low
Vegetables,Kharif,Tamil_Nadu,Sandy,Canal,Low,Low,Mostly_Female,0.8,Fertilizer_Application,38.91,1.04,2.14,2,12.7,2,533,1066,0,2,Low
Pulses,Rabi,Uttar_Pradesh,Sandy,Canal,None,Medium,Mixed,3.11,Transplanting,22.44,1.03,3.66,11,84.1,17,408,4488,5,6,Medium
Soybean,Zaid,Bihar,Laterite,Drip,Low,Low,Mixed,3.45,Transplanting,16.96,1.05,3.32,11,87.9,23,350,3850,6,5,Medium
Cotton,Zaid,Uttar_Pradesh,Black,Canal,None,Low,Mixed,0.75,Post_Harvest,26.88,1.1,1.5,1,7.2,2,398,398,1,0,Very_Low
Groundnut,Rabi,Maharashtra,Black,Rainfed,High,High,Mostly_Male,4.48,Pest_Control,16.46,0.92,0.45,2,16.2,6,519,1038,2,0,Very_Low
Rice,Rabi,Madhya_Pradesh,Laterite,Sprinkler,High,Medium,Mixed,0.63,Post_Harvest,31.5,1.09,0.63,1,7.3,1,455,455,0,1,Very_Low
Groundnut,Rabi,Uttar_Pradesh,Black,Tube_Well,Medium,Medium,Mostly_Female,1.24,Weeding,29.9,0.93,0.82,1,6.9,3,411,411,0,1,Very_Low
Sugarcane,Kharif,Maharashtra,Laterite,Canal,Medium,Low,Mixed,2.53,Fertilizer_Application,27.51,1.01,1.27,3,19.9,4,563,1689,2,1,Very_Low
